% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=610975, Mon Apr  6 14:21:21 2026, <python>{}</python>
1 8 0.48025502100685075 1.0000491391383224 -40.60668011782683 -4.0606680117826834e+01 -1.363521307137295 17.80610787049474 34.49673058661628 -35.176568214298456 nan 0.7   
2 16 0.4635405541599079 1.0000491391383224 -44.49551704100736 -4.4495517041007361e+01 -37.63356294680084 -13.963545408868013 13.587920203471072 -40.03699659851626 nan 1.3   
3 24 0.4497532267537481 1.0318229993987988 -44.49551704100736 -3.9495340516408923e+01 -34.719604113049805 12.844329568331533 5.350666809197726 -37.93026561356003 nan 2.0   
4 32 0.4407653585425302 1.0318229993987988 -44.49551704100736 -4.2337390446552753e+01 -35.81239092763337 -31.055412513137856 6.713229165176145 -40.20337788180653 nan 2.7   
5 40 0.4348678394689326 1.0446938535394694 -44.75261000556595 -4.4752610005565948e+01 3.108675485393538 13.717428185816127 44.583423580676765 -36.65428703584556 nan 3.3   
6 48 0.4302112053864657 1.0446938535394694 -44.95262686637664 -4.4952626866376640e+01 -36.188769491486035 -25.856048542267633 5.625789881349789 -37.995160810922634 nan 4.0   
7 56 0.4290783674605426 1.0637093622118778 -44.95262686637664 -4.4470126792165104e+01 -36.599299857343986 3.7479607712779526 9.958281476840831 -42.59448567965427 nan 4.5   
8 64 0.4282800409844764 1.0637093622118778 -44.95262686637664 -4.4827935945248839e+01 -37.68972777882334 -32.673920880845266 3.274106046878231 -39.1384531399022 nan 4.8   
9 72 0.42640839232718214 1.0922978914924557 -44.95262686637664 -3.8998356347403167e+01 -30.739618867754405 7.224209850282851 21.28429277309838 -37.614150812056266 nan 5.3   
10 80 0.42398636482662 1.0922978914924557 -44.95262686637664 -4.4521953268641710e+01 -36.09788417996421 2.058955064799896 4.878140061465494 -39.56058379873209 nan 6.0   
11 88 0.4214042925703108 1.113045381390484 -44.95262686637664 -4.3224287914872519e+01 -34.34859769381293 11.196279125268559 25.371427114634933 -40.876113464154855 nan 6.6   
12 96 0.41803341176893255 1.113045381390484 -44.95262686637664 -4.0651892884154975e+01 -35.03845897723333 -31.63163619568064 4.891818023436308 -37.97513194816213 nan 7.3   
